ID,Star,Sum.Polarity,Avg.Polarity,Num.Verb,Num.Adjective,Num.Noun
dk***,8,2,2.0,0,1,0
h***,6,4,2.0,0,1,1
knki***,6,0,0.0,0,3,0
dool***,10,3,1.5,0,1,1
dool***,10,4,2.0,0,1,1
thtlal***,10,-2,-2.0,0,1,0
thtlal***,10,1,1.0,0,0,1
sunmin***,10,2,2.0,0,1,0
skfnxhe***,10,5,1.25,0,3,1
lyy1***,6,2,2.0,0,1,0
knki***,6,2,2.0,0,1,0
tyvld5***,10,10,2.0,0,5,0
helena5***,10,2,2.0,0,1,0
helena5***,10,2,2.0,0,1,0
scjan***,10,1,1.0,0,0,1
scjan***,10,2,2.0,0,1,0
wjdcodud2***,6,1,0.17,1,4,1
dbf***,8,0,0.0,0,2,0
dbf***,8,2,2.0,0,1,0
ysy2***,10,6,1.0,1,0,5
cherryb***,10,6,2.0,0,1,2
cutelieb***,10,-1,-1.0,0,1,0
osy1***,10,2,2.0,0,1,0
osy1***,10,2,2.0,0,1,0
seongheun0***,10,2,2.0,0,1,0
ahnmy***,6,3,1.5,0,2,0
infinite0***,10,2,2.0,0,1,0
aabb0***,10,2,2.0,0,0,1
kmhh1***,10,2,2.0,0,1,0
ahnmy***,6,5,1.25,0,4,0
dltjdud4***,10,3,1.5,0,1,1
skyea***,8,2,2.0,0,0,1
jyj9***,10,3,1.0,0,2,1
jyj9***,8,2,2.0,0,1,0
lemon5***,10,2,2.0,0,1,0
chawo***,10,2,2.0,0,1,0
87hah***,8,-1,-0.5,0,2,0
chawo***,10,3,1.5,0,2,0
khjj9***,10,2,2.0,0,0,1
kimmin990***,10,2,2.0,0,1,0
rkdls0***,6,-1,-0.2,0,4,1
xkfk1***,10,2,2.0,0,1,0
67sg***,8,2,2.0,0,1,0
67sg***,10,5,1.67,0,3,0
momo***,10,-1,-0.5,1,1,0
67sg***,8,4,2.0,0,2,0
wdt2***,10,2,2.0,0,1,0
ok3***,8,2,2.0,0,1,0
ran***,10,2,2.0,0,1,0
stella01***,8,1,0.5,0,1,1
jostar0***,8,2,2.0,0,1,0
wdt2***,10,2,2.0,0,1,0
lily4***,10,0,0.0,0,2,0
cecili***,8,1,1.0,0,1,0
chong***,10,7,1.75,0,3,1
lily4***,10,5,1.67,0,2,1
yunju9***,8,1,1.0,0,0,1
zzanglee1***,2,-1,-1.0,0,1,0
ez1***,10,1,0.5,0,1,1
hyu***,8,4,2.0,0,1,1
eunju1***,10,-1,-1.0,0,0,1
yourso***,10,2,2.0,0,1,0
adist***,8,2,2.0,0,0,1
shs***,10,4,2.0,1,1,0
lily4***,10,-1,-1.0,0,1,0
tkfkd5***,10,2,2.0,0,0,1
tkfkd5***,10,2,2.0,0,1,0
jostar0***,8,3,1.5,0,2,0
yourso***,10,2,2.0,0,1,0
rom***,10,1,0.5,0,2,0
jostar0***,6,1,0.5,0,2,0
kitigml***,4,-1,-1.0,0,1,0
sjdmlr***,10,2,2.0,0,1,0
kbm4***,6,4,2.0,0,2,0
e4j***,10,-3,-1.5,0,2,0
skj***,10,4,2.0,0,1,1
j98322***,10,2,2.0,0,1,0
Dlalsru***,10,2,2.0,0,1,0
wlsdk***,8,4,2.0,0,2,0
jkmam***,10,3,0.75,2,1,1
yw020***,10,2,2.0,0,1,0
jihyun0***,10,2,1.0,0,0,2
thtlal***,10,4,2.0,0,2,0
dool***,10,4,2.0,0,2,0
wkgus***,10,2,2.0,0,1,0
wjdvlfr***,10,-1,-1.0,1,0,0
wjdvlfr***,10,2,2.0,0,1,0
wjdvlfr***,10,2,2.0,0,1,0
xkfk1***,8,2,2.0,0,1,0
ppl***,10,2,2.0,0,0,1
cej6***,10,2,2.0,0,1,0
namewonky***,10,2,2.0,0,1,0
wood***,8,0,0.0,0,2,2
pi***,10,6,2.0,0,3,0
pi***,10,2,2.0,0,0,1
pi***,10,2,2.0,0,1,0
dl890***,8,2,2.0,0,1,0
sojinchen_hu***,10,3,1.5,0,1,1
dbshd0***,10,2,2.0,0,1,0
dool***,10,1,1.0,0,1,0
iamm***,10,0,0.0,0,2,0
yeoga030***,10,2,2.0,0,0,1
oys0***,10,2,2.0,0,0,1
yeoga030***,10,2,2.0,0,1,0
660***,10,2,2.0,0,1,0
momo***,10,1,1.0,0,0,1
xkfk1***,8,-1,-1.0,0,1,0
xkfk1***,8,2,2.0,0,1,0
ks2l***,8,2,2.0,0,0,1
syb***,10,2,2.0,0,1,0
xian***,6,-3,-1.5,0,2,0
whdkfka30***,8,3,1.0,0,3,0
rltk***,10,0,0.0,0,1,1
alewlah***,10,-1,-1.0,0,1,0
siames***,10,2,2.0,0,1,0
rarary***,8,2,2.0,0,1,0
llS2youS***,8,1,0.5,0,2,0
rnldu***,10,-2,-1.0,1,0,1
ioio***,10,2,2.0,0,1,0
mi1youn***,8,0,0.0,0,2,0
dang***,2,2,2.0,0,1,0
ekdr***,10,2,2.0,0,1,0
dk***,8,2,2.0,0,1,0
dk***,8,2,2.0,0,0,1
dk***,8,2,2.0,0,1,0
dk***,8,2,2.0,0,1,0
leesy***,10,2,2.0,0,0,1
tgwae***,10,2,2.0,0,1,0
shs8***,6,2,2.0,0,1,0
jasmk***,10,0,0.0,0,2,0
iiconc***,10,2,2.0,0,1,0
Sopia4***,10,2,2.0,0,1,0
kimsohee***,10,2,2.0,0,1,0
tlsgusdk1***,10,2,2.0,0,0,1
baki***,10,2,2.0,0,1,0
seongheun0***,10,-2,-1.0,1,0,1
tnwlsdl1***,8,2,2.0,0,1,0
haem***,6,-2,-0.5,0,3,1
rgw***,10,2,2.0,0,1,0
vlossom***,10,2,2.0,0,1,0
hw04***,10,2,2.0,0,1,0
n***,6,6,1.0,2,4,0
seongheun0***,10,-1,-1.0,0,0,1
n***,6,3,0.43,2,5,0
seongheun0***,10,2,2.0,0,1,0
thuganom***,10,1,1.0,1,0,0
tlsgy9***,8,1,0.5,0,2,0
crazyb***,10,1,0.5,0,2,0
yoonsoo***,6,2,2.0,0,1,0
crazyb***,10,2,2.0,0,1,0
maika***,10,-1,-1.0,0,1,0
holiwo***,10,2,2.0,0,0,1
wdt2***,10,2,2.0,0,1,0
esse0***,10,1,1.0,0,1,0
rraauu***,10,2,2.0,0,1,0
08r***,10,4,2.0,0,2,0
elrpi***,6,-3,-0.21,0,10,4
seongheun0***,10,-2,-0.67,1,2,0
jyw5***,8,2,2.0,0,1,0
08r***,10,6,2.0,0,2,1
ahs910***,10,1,1.0,0,1,0
pym5***,10,1,1.0,1,0,0
nun01***,10,2,2.0,0,1,0
peril***,6,2,2.0,0,1,0
iamz***,6,-1,-1.0,0,1,0
seongheun0***,10,-1,-0.25,1,3,0
ssally0***,10,2,2.0,0,1,0
hevel***,10,1,1.0,0,1,0
jjims***,10,4,2.0,0,2,0
dasol2***,10,1,0.5,0,2,0
dool***,10,1,0.25,0,1,3
kcsj***,10,4,2.0,0,0,2
hdd0***,8,4,1.0,0,4,0
arang***,10,2,2.0,0,1,0
wondyo***,8,7,1.4,0,4,1
allmoments***,10,-2,-2.0,0,0,1
allmoments***,10,-2,-1.0,2,0,0
psoon1***,8,0,0.0,0,5,0
yitkfkd***,10,4,2.0,0,2,0
alicia051***,10,1,1.0,1,0,0
copywi***,8,3,1.0,0,3,0
dnjs***,10,-2,-2.0,0,1,0
mem***,10,2,2.0,0,1,0
ssp05***,10,5,1.0,0,4,1
ssp05***,10,7,0.78,2,6,1
copywi***,8,2,2.0,0,1,0
saja5***,10,-2,-2.0,0,1,0
gd2z***,10,1,0.5,0,1,1
0552***,8,2,2.0,0,1,0
osy1***,10,2,2.0,0,1,0
osy1***,10,2,2.0,0,1,0
minu***,10,5,1.67,1,2,0
uclov***,6,-1,-1.0,0,1,0
uclov***,6,0,0.0,0,3,0
beei***,8,2,2.0,0,1,0
ehdrmfl0***,10,2,2.0,0,1,0
kai9***,8,2,2.0,0,1,0
cecili***,6,-1,-1.0,0,1,0
bo1***,6,-3,-1.0,3,0,0
knki***,6,-1,-1.0,0,1,0
sowoon1***,10,2,2.0,0,1,0
jh2***,10,2,2.0,0,1,0
joo***,10,-1,-1.0,0,1,0
ma1t***,10,3,1.0,0,3,0
ma1t***,6,-2,-2.0,0,1,0
l1***,10,2,2.0,0,1,0
tkp1***,10,2,2.0,0,1,0
sseu***,10,2,2.0,0,1,0
sunny5***,10,2,2.0,0,0,1
sunny5***,10,2,2.0,0,0,1
sunny5***,10,2,2.0,0,0,1
sunny5***,10,2,2.0,0,1,0
sunny5***,10,2,2.0,0,1,0
sunny5***,10,2,2.0,0,1,0
ryuel0***,10,2,2.0,0,1,0
jmilleng***,10,1,1.0,0,0,1
cdht***,6,4,2.0,0,1,1
jmilleng***,10,2,2.0,1,0,0
hyang1***,10,2,2.0,0,0,1
hdd0***,8,3,1.0,0,3,0
ggomg***,10,1,1.0,1,0,0
wjs0***,10,2,2.0,0,1,0
wjs0***,10,4,2.0,0,2,0
infinite0***,10,2,2.0,0,1,0
foryouair***,10,2,2.0,0,1,0
chaneun1***,10,-2,-2.0,1,0,0
jwisdom1***,8,2,2.0,0,1,0
eych***,10,4,2.0,0,1,1
grazie4***,6,2,2.0,0,1,0
skypore***,8,1,1.0,0,0,1
skybonj***,8,1,1.0,0,1,0
rkdls0***,8,0,0.0,0,2,0
skybonj***,8,2,2.0,0,1,0
elly***,8,2,2.0,0,1,0
chlalth***,10,2,2.0,0,1,0
shan***,10,1,0.5,0,2,0
endbl***,8,-1,-1.0,0,1,0
danbyshi***,10,2,2.0,0,1,0
sjdmlr***,10,4,2.0,0,2,0
kimmin990***,10,2,2.0,0,1,0
j3hw***,10,2,2.0,0,1,0
kis3***,10,2,2.0,0,1,0
umk***,10,2,2.0,0,1,0
maika***,10,2,2.0,0,1,0
yar***,10,2,2.0,0,1,0
ipicurean***,10,5,0.5,2,7,1
sidop***,10,2,2.0,1,0,0
ysy2***,10,1,0.5,0,1,1
bo1***,6,2,2.0,0,1,0
ysy2***,10,3,1.5,0,1,1
ssub***,10,2,2.0,0,1,0
tlswldn0***,10,2,2.0,0,1,0
subinr***,8,2,2.0,0,1,0
subinr***,6,4,2.0,0,2,0
shix***,10,2,2.0,0,1,0
subinr***,8,2,2.0,0,0,1
yourso***,10,2,2.0,0,1,0
tmin1***,6,4,2.0,0,2,0
deepblu***,10,-3,-1.5,0,1,1
banghy***,10,2,2.0,0,1,0
mamon***,10,4,2.0,0,1,1
lma1***,10,3,1.0,0,2,1
ryn***,10,2,2.0,0,1,0
dicas***,10,2,2.0,1,0,0
rom***,10,2,2.0,0,1,0
hevel***,10,2,1.0,0,1,1
ez1***,8,2,2.0,0,1,0
coco***,10,4,2.0,0,2,0
star***,10,2,2.0,0,1,0
dpflf1***,10,2,2.0,0,0,1
banghy***,10,2,2.0,0,1,0
amy***,10,2,2.0,0,1,0
jyj9***,10,1,1.0,1,0,0
anitop***,8,-1,-1.0,0,1,0
julia00***,10,1,1.0,0,0,1
sjm7***,10,2,2.0,0,1,0
rraauu***,10,2,2.0,0,1,0
bmg1***,6,-1,-1.0,0,0,1
pym5***,10,2,2.0,0,1,0
ben8***,10,4,2.0,0,2,0
ryn***,10,1,0.5,0,1,1
jrsil***,2,0,0.0,1,1,0
ez1***,10,2,2.0,0,0,1
e4j***,10,2,2.0,0,1,0
jangeunjo***,10,3,1.5,0,2,0
bbchloe9***,10,4,1.33,0,1,2
ryn***,10,4,2.0,0,2,0
ekin***,10,-1,-1.0,0,1,0
rioruci***,10,2,1.0,0,0,2
pe***,8,4,2.0,0,2,0
amber2***,6,-1,-1.0,0,1,0
jjims***,10,4,2.0,0,2,0
wjddo0***,6,2,2.0,0,1,0
sunbin***,8,2,2.0,0,1,0
sunbin***,8,2,2.0,0,1,0
sunbin***,6,2,2.0,0,1,0
sunbin***,6,1,0.33,0,3,0
ksjhsi***,6,2,2.0,0,1,0
laina950***,6,2,2.0,0,1,0
dool***,10,2,1.0,1,1,0
byflo***,10,2,2.0,0,0,1
vndk0***,8,2,2.0,0,1,0
copywi***,8,3,1.0,0,3,0
sss***,8,2,2.0,0,0,1
sss***,8,-1,-1.0,0,1,0
kgy920***,10,-2,-2.0,1,0,0
mur***,10,0,0.0,0,2,1
copywi***,6,4,2.0,0,2,0
dda***,6,-1,-1.0,0,1,0
yitkfkd***,10,4,2.0,0,2,0
hdd0***,8,4,2.0,0,2,0
etu***,6,1,1.0,1,0,0
laina950***,6,2,2.0,0,1,0
arang***,10,2,2.0,0,1,0
allmoments***,10,2,2.0,0,1,0
yitkfkd***,10,2,2.0,0,1,0
copywi***,8,2,2.0,0,1,0
pi***,10,2,0.67,0,3,0
rrom***,8,2,2.0,0,1,0
jeonga1***,10,2,0.67,1,1,1
dhrdudql***,10,4,2.0,0,1,1
ryu***,8,5,1.0,0,5,0
ryuel0***,10,2,2.0,0,1,0
Dlalsru***,10,4,2.0,0,2,0
wwwwwww***,10,-2,-2.0,1,0,0
onkey1***,6,-2,-1.0,0,2,0
onkey1***,8,4,2.0,1,1,0
tensi1***,10,1,1.0,0,1,0
sanmg***,8,2,2.0,0,1,0
sanmg***,8,-2,-2.0,0,1,0
c1ap***,8,2,2.0,0,1,0
hhs***,10,2,2.0,0,0,1
hj6***,6,2,2.0,0,0,1
tlswldn0***,6,1,0.5,0,1,1
tkddk1***,10,2,2.0,0,1,0
noba***,10,2,2.0,0,1,0
noba***,10,2,2.0,0,1,0
killi***,4,0,0.0,2,0,0
jw700***,8,4,2.0,0,2,0
yitkfkd***,10,2,2.0,0,1,0
mi1youn***,10,4,2.0,0,2,0
yusm4***,10,2,2.0,0,1,0
ysy2***,10,4,1.0,0,4,0
ysy2***,10,1,0.33,0,2,1
ysy2***,10,-1,-0.2,0,4,1
shan***,10,-1,-1.0,0,1,0
seongheun0***,10,2,2.0,0,1,0
seongheun0***,10,2,0.67,1,2,0
sunmin***,10,2,2.0,0,1,0
sm***,6,1,0.5,0,2,0
wdt2***,10,2,2.0,0,1,0
j98322***,10,2,2.0,0,1,0
